Institute Code,College,Course Code,Course,Status,Category,Cutoff Rank,Score
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,51922,77.9969992
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,38651,84.0516274
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,61419,73.1851907
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,117713,33.2472877
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,56910,75.1725431
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,47365,79.8081214
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,50166,78.4161664
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,56879,75.1725431
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,43574,81.8534982
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,41931,82.3107244
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,59704,73.6426530
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,106253,43.5071268
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,72354,66.9527897
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,49939,78.5775598
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,55239,76.2843676
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,30370,87.5056399
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,EWS,42232,82.2515860
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,80967,61.6397637
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,84577,59.8623853
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,141262,3.8552498
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,131711,17.8500207
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,85735,58.7429854
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,76696,64.4512569
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,85239,58.8704519
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,37258,84.4681938
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,49613,78.7120349
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,104503,45.6445719
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,63559,71.8303504
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,EWS,109617,40.6521983
